ds,y
2011-01-09,25830
2011-01-16,27175
2011-01-23,21796
2011-01-30,15336
2011-02-06,20268
2011-02-13,23257
2011-02-20,27375
2011-02-27,25477
2011-03-06,30826
2011-03-13,26140
2011-03-20,45316
2011-03-27,25141
2011-04-03,33109
2011-04-10,31271
2011-04-17,23633
2011-04-24,25610
2011-05-01,24025
2011-05-08,35495
2011-05-15,30697
2011-05-22,29533
2011-05-29,33989
2011-06-05,55463
2011-06-12,55462
2011-06-19,41716
2011-06-26,52138
2011-07-03,31716
2011-07-10,19744
2011-07-17,20343
2011-07-24,31331
2011-07-31,39867
2011-08-07,43218
2011-08-14,53517
2011-08-21,52225
2011-08-28,36810
2011-09-04,44230
2011-09-11,73831
2011-09-18,57551
2011-09-25,83367
2011-10-02,55273
2011-10-09,51995
2011-10-16,48389
2011-10-23,42909
2011-10-30,45650
2011-11-06,85134
2011-11-13,68842
2011-11-20,69473
2011-11-27,59054
2011-12-04,54943
2011-12-11,67394
2011-12-18,81939
2011-12-25,79435
2012-01-01,74131
2012-01-08,28159
2012-01-15,35685
2012-01-22,29301
2012-01-29,37753
2012-02-05,24498
2012-02-12,23645
2012-02-19,23717
2012-02-26,21876
2012-03-04,26924
2012-03-11,32502
2012-03-18,35275
2012-03-25,45225
2012-04-01,35339
2012-04-08,33026
2012-04-15,36168
2012-04-22,50191
2012-04-29,35441
2012-05-06,30742
2012-05-13,51915
2012-05-20,40361
2012-05-27,49437
2012-06-03,57028
2012-06-10,51142
2012-06-17,62673
2012-06-24,71572
2012-07-01,57946
2012-07-08,36769
2012-07-15,34366
2012-07-22,29337
2012-07-29,30266
2012-08-05,66345
2012-08-12,56134
2012-08-19,58466
2012-08-26,69976
2012-09-02,71882
2012-09-09,66266
2012-09-16,68874
2012-09-23,77293
2012-09-30,69279
2012-10-07,61453
2012-10-14,52318
2012-10-21,55240
2012-10-28,57663
2012-11-04,63371
2012-11-11,86071
2012-11-18,85350
2012-11-25,64908
2012-12-02,65936
2012-12-09,76642
2012-12-16,63897
2012-12-23,80096
2012-12-30,91087
2013-01-06,59602
2013-01-13,43820
2013-01-20,34761
2013-01-27,35456
2013-02-03,51991
2013-02-10,52300
2013-02-17,32096
2013-02-24,38493
2013-03-03,42920
2013-03-10,47787
2013-03-17,56393
2013-03-24,41290
2013-03-31,38793
2013-04-07,39577
2013-04-14,40648
2013-04-21,46260
2013-04-28,36829
2013-05-05,48026
2013-05-12,48187
2013-05-19,49507
2013-05-26,57025
2013-06-02,82299
2013-06-09,90080
2013-06-16,112361
2013-06-23,79970
2013-06-30,104104
2013-07-07,46836
2013-07-14,58892
2013-07-21,48142
2013-07-28,56412
2013-08-04,52914
2013-08-11,53164
2013-08-18,84043
2013-08-25,86908
2013-09-01,69485
2013-09-08,84875
2013-09-15,97005
2013-09-22,102999
2013-09-29,74382
2013-10-06,85616
2013-10-13,54905
2013-10-20,69320
2013-10-27,55960
2013-11-03,68750
2013-11-10,78599
2013-11-17,90122
2013-11-24,77501
2013-12-01,105011
2013-12-08,88186
2013-12-15,80643
2013-12-22,113607
2013-12-29,93205
2014-01-05,52710
2014-01-12,48903
2014-01-19,64303
2014-01-26,58541
2014-02-02,46147
2014-02-09,39573
2014-02-16,59621
2014-02-23,45589
2014-03-02,42725
2014-03-09,39470
2014-03-16,56423
2014-03-23,72122
2014-03-30,77659
2014-04-06,55861
2014-04-13,59139
2014-04-20,62539
2014-04-27,51890
2014-05-04,53170
2014-05-11,71785
2014-05-18,61314
2014-05-25,63780
2014-06-01,67655
2014-06-08,83771
2014-06-15,88439
2014-06-22,102162
2014-06-29,106023
2014-07-06,75865
2014-07-13,54536
2014-07-20,52555
2014-07-27,53959
2014-08-03,75342
2014-08-10,104150
2014-08-17,104881
2014-08-24,118141
2014-08-31,95331
2014-09-07,113955
2014-09-14,101990
2014-09-21,123273
2014-09-28,110583
2014-10-05,92942
2014-10-12,86737
2014-10-19,102971
2014-10-26,93382
2014-11-02,87220
2014-11-09,123898
2014-11-16,122533
2014-11-23,162934
2014-11-30,136865
2014-12-07,111233
2014-12-14,113997
2014-12-21,99448
2014-12-28,123279
